商品ID,商品名称,类别,描述,价格,销量,评分,库存,上架时间,用户评论
P749678,OPPO 吸尘器 新款,吸尘器,新款知名品牌 吸尘器，采用先进工艺，品质保证。,618.59,175,5.0,3,2024-03-31,质量很好，非常满意
P377986,vivo 口红 青春版,口红,新款知名品牌 口红，采用先进工艺，品质保证。,146.73,286,3.0,584,2024-07-18,和描述的一致，不错
P110642,联想 笔记本电脑 经典款,笔记本电脑,苹果出品笔记本电脑，深受消费者喜爱，口碑之选。,3994.8,1652,4.0,74,2025-01-16,性价比高，值得购买
P326312,华为 防晒霜 Pro,防晒霜,知名品牌出品防晒霜，深受消费者喜爱，口碑之选。,398.65,2202,4.0,431,2024-11-27,用起来很方便，推荐
P370237,耐克 男士T恤 新款,男士T恤,优衣库 男士T恤，精选优质材料，适合各类人群使用。,364.3,402,5.0,721,2023-08-18,性价比高，值得购买
P367559,小米 电饭煲 经典款,电饭煲,知名品牌出品电饭煲，深受消费者喜爱，口碑之选。,713.38,2504,4.0,466,2024-07-22,性价比高，值得购买
P217353,华为 口红 经典款,口红,知名品牌 口红，精选优质材料，适合各类人群使用。,480.27,1834,4.0,45,2025-06-07,性价比高，值得购买
P567046,vivo 纸尿裤 新款,纸尿裤,新款知名品牌 纸尿裤，采用先进工艺，品质保证。,312.57,55,3.5,391,2024-06-13,和描述的一致，不错
P218725,OPPO 婴儿奶粉 新款,婴儿奶粉,知名品牌 婴儿奶粉，精选优质材料，适合各类人群使用。,403.09,4088,2.0,162,2023-12-08,不太符合预期
P178361,小米 吸尘器 青春版,吸尘器,新款知名品牌 吸尘器，采用先进工艺，品质保证。,293.17,10,4.5,305,2024-01-04,性价比高，值得购买
P240900,vivo 牛仔裤 青春版,牛仔裤,新款知名品牌 牛仔裤，采用先进工艺，品质保证。,164.66,187,3.5,526,2025-06-07,和描述的一致，不错
P823029,vivo 女士连衣裙 Pro,女士连衣裙,知名品牌 女士连衣裙，精选优质材料，适合各类人群使用。,553.05,4950,4.0,813,2025-01-28,质量很好，非常满意
P363744,良品铺子 休闲零食 Pro,休闲零食,新款徐福记 休闲零食，采用先进工艺，品质保证。,754.36,3795,4.5,365,2023-12-25,质量很好，非常满意
P553990,资生堂 保湿面霜 青春版,保湿面霜,资生堂出品保湿面霜，深受消费者喜爱，口碑之选。,1289.86,4986,5.0,894,2024-05-01,用起来很方便，推荐
P678011,SK-II 保湿面霜 青春版,保湿面霜,新款相宜本草 保湿面霜，采用先进工艺，品质保证。,527.8,243,3.5,89,2025-04-17,和描述的一致，不错
P802803,小米 口红 新款,口红,知名品牌出品口红，深受消费者喜爱，口碑之选。,277.55,64,4.0,108,2024-05-15,性价比高，值得购买
P989104,华为 牛奶 青春版,牛奶,新款知名品牌 牛奶，采用先进工艺，品质保证。,587.36,149,4.5,436,2025-06-19,用起来很方便，推荐
P730192,良品铺子 休闲零食 新款,休闲零食,新款洽洽 休闲零食，采用先进工艺，品质保证。,59.01,319,1.5,806,2024-03-16,不太符合预期
P931261,华为 水果礼盒 Pro,水果礼盒,知名品牌出品水果礼盒，深受消费者喜爱，口碑之选。,608.32,256,5.0,543,2024-04-19,质量很好，非常满意
P375226,OPPO 婴儿车 青春版,婴儿车,知名品牌出品婴儿车，深受消费者喜爱，口碑之选。,747.14,4612,4.5,541,2025-06-05,性价比高，值得购买
P112124,小米 咖啡 青春版,咖啡,知名品牌出品咖啡，深受消费者喜爱，口碑之选。,628.34,236,4.5,24,2023-12-31,用起来很方便，推荐
P240813,OPPO 牛奶 经典款,牛奶,知名品牌 牛奶，精选优质材料，适合各类人群使用。,653.47,3533,4.0,555,2024-08-22,用起来很方便，推荐
P759282,苹果 运动鞋 青春版,运动鞋,知名品牌出品运动鞋，深受消费者喜爱，口碑之选。,795.54,1103,4.5,549,2025-06-06,用起来很方便，推荐
P364624,OPPO 婴儿奶粉 新款,婴儿奶粉,新款知名品牌 婴儿奶粉，采用先进工艺，品质保证。,786.25,220,4.5,954,2025-02-03,性价比高，值得购买
P723481,华为 牛奶 经典款,牛奶,新款知名品牌 牛奶，采用先进工艺，品质保证。,419.14,5877,3.0,288,2025-03-20,有点小瑕疵，但总体还行
P766832,OPPO 婴儿奶粉 Pro,婴儿奶粉,知名品牌出品婴儿奶粉，深受消费者喜爱，口碑之选。,168.68,3259,4.5,374,2024-12-13,用起来很方便，推荐
P979714,OPPO 纸尿裤 青春版,纸尿裤,知名品牌 纸尿裤，精选优质材料，适合各类人群使用。,76.85,181,1.5,503,2025-01-03,不太符合预期
P446379,小米 智能手机 青春版,智能手机,苹果出品智能手机，深受消费者喜爱，口碑之选。,5423.0,35,4.0,684,2025-02-10,用起来很方便，推荐
P862509,富安娜 床上四件套 新款,床上四件套,新款罗莱家纺 床上四件套，采用先进工艺，品质保证。,542.11,321,4.5,212,2024-04-28,质量很好，非常满意
P999090,华为 水果礼盒 新款,水果礼盒,知名品牌 水果礼盒，精选优质材料，适合各类人群使用。,649.08,109,4.0,876,2023-09-06,性价比高，值得购买
P819742,苹果 运动鞋 经典款,运动鞋,知名品牌出品运动鞋，深受消费者喜爱，口碑之选。,1350.6,371,3.5,393,2025-06-15,有点小瑕疵，但总体还行
P524579,苹果 吸尘器 青春版,吸尘器,知名品牌 吸尘器，精选优质材料，适合各类人群使用。,691.58,438,4.5,806,2024-12-31,用起来很方便，推荐
P298399,OPPO 电饭煲 新款,电饭煲,知名品牌出品电饭煲，深受消费者喜爱，口碑之选。,600.31,67,3.0,777,2024-02-09,和描述的一致，不错
P367070,华为 婴儿奶粉 Pro,婴儿奶粉,知名品牌 婴儿奶粉，精选优质材料，适合各类人群使用。,834.97,131,4.0,121,2024-04-22,用起来很方便，推荐
P791436,vivo 平板电脑 新款,平板电脑,知名品牌出品平板电脑，深受消费者喜爱，口碑之选。,4325.73,75,4.5,585,2025-02-25,质量很好，非常满意
P197322,小米 台灯 新款,台灯,新款知名品牌 台灯，采用先进工艺，品质保证。,191.64,385,4.0,964,2025-02-18,用起来很方便，推荐
P502981,小米 牛仔裤 Pro,牛仔裤,知名品牌出品牛仔裤，深受消费者喜爱，口碑之选。,265.32,1044,3.5,883,2023-10-27,有点小瑕疵，但总体还行
P241307,小米 运动鞋 经典款,运动鞋,新款知名品牌 运动鞋，采用先进工艺，品质保证。,224.32,5375,5.0,381,2024-10-28,性价比高，值得购买
P786046,小米 平板电脑 经典款,平板电脑,知名品牌 平板电脑，精选优质材料，适合各类人群使用。,5453.74,165,2.5,547,2025-08-02,不太符合预期
P353653,vivo 电饭煲 新款,电饭煲,知名品牌 电饭煲，精选优质材料，适合各类人群使用。,691.68,409,5.0,126,2025-03-26,用起来很方便，推荐
P183579,罗莱家纺 床上四件套 Pro,床上四件套,梦洁出品床上四件套，深受消费者喜爱，口碑之选。,714.95,4049,4.0,547,2024-08-12,性价比高，值得购买
P157771,vivo 女士连衣裙 青春版,女士连衣裙,新款知名品牌 女士连衣裙，采用先进工艺，品质保证。,535.26,2584,2.5,694,2023-12-29,不太符合预期
P825799,华为 婴儿奶粉 经典款,婴儿奶粉,知名品牌出品婴儿奶粉，深受消费者喜爱，口碑之选。,184.13,450,4.5,635,2023-10-18,用起来很方便，推荐
P340654,ZARA 男士T恤 经典款,男士T恤,耐克 男士T恤，精选优质材料，适合各类人群使用。,72.09,562,3.5,142,2024-09-09,和描述的一致，不错
P530436,OPPO 吸尘器 新款,吸尘器,知名品牌 吸尘器，精选优质材料，适合各类人群使用。,949.16,160,4.0,273,2023-11-04,用起来很方便，推荐
P731629,小米 智能手表 青春版,智能手表,知名品牌出品智能手表，深受消费者喜爱，口碑之选。,1088.77,261,2.0,269,2024-09-17,不太符合预期
P828947,苹果 洗发水 新款,洗发水,知名品牌 洗发水，精选优质材料，适合各类人群使用。,45.08,52,4.5,577,2025-04-18,质量很好，非常满意
P956696,三只松鼠 休闲零食 青春版,休闲零食,三只松鼠出品休闲零食，深受消费者喜爱，口碑之选。,843.37,186,4.5,61,2024-12-02,质量很好，非常满意
P468190,苹果 口红 经典款,口红,知名品牌出品口红，深受消费者喜爱，口碑之选。,194.98,294,3.0,364,2024-11-09,和描述的一致，不错
P831170,小米 防晒霜 新款,防晒霜,知名品牌 防晒霜，精选优质材料，适合各类人群使用。,63.36,405,2.5,876,2024-09-25,不太符合预期
P945107,OPPO 口红 Pro,口红,知名品牌出品口红，深受消费者喜爱，口碑之选。,71.62,321,3.5,4,2023-09-08,和描述的一致，不错
P815686,苹果 婴儿奶粉 新款,婴儿奶粉,知名品牌 婴儿奶粉，精选优质材料，适合各类人群使用。,776.14,51,3.0,155,2024-11-26,和描述的一致，不错
P759239,小米 咖啡 青春版,咖啡,新款知名品牌 咖啡，采用先进工艺，品质保证。,779.63,471,3.0,390,2025-05-01,和描述的一致，不错
P262093,华为 洗发水 Pro,洗发水,知名品牌 洗发水，精选优质材料，适合各类人群使用。,902.16,325,3.5,807,2024-12-17,和描述的一致，不错
P323777,资生堂 保湿面霜 新款,保湿面霜,新款SK-II 保湿面霜，采用先进工艺，品质保证。,418.76,134,3.5,519,2024-03-13,和描述的一致，不错
P560348,罗莱家纺 床上四件套 经典款,床上四件套,新款富安娜 床上四件套，采用先进工艺，品质保证。,387.46,343,4.5,227,2023-09-22,用起来很方便，推荐
P416352,vivo 牛仔裤 青春版,牛仔裤,新款知名品牌 牛仔裤，采用先进工艺，品质保证。,607.22,454,5.0,124,2025-02-06,性价比高，值得购买
P913255,华为 电饭煲 经典款,电饭煲,知名品牌出品电饭煲，深受消费者喜爱，口碑之选。,693.62,183,2.0,336,2024-02-12,不太符合预期
P110755,vivo 电饭煲 经典款,电饭煲,知名品牌 电饭煲，精选优质材料，适合各类人群使用。,845.32,3665,3.5,945,2024-06-22,和描述的一致，不错
P606246,华为 婴儿车 经典款,婴儿车,知名品牌出品婴儿车，深受消费者喜爱，口碑之选。,186.11,240,4.0,283,2023-12-29,质量很好，非常满意
P202939,小米 吸尘器 新款,吸尘器,知名品牌出品吸尘器，深受消费者喜爱，口碑之选。,169.35,3167,4.5,954,2024-01-10,质量很好，非常满意
P346527,ZARA 男士T恤 新款,男士T恤,ZARA 男士T恤，精选优质材料，适合各类人群使用。,233.14,415,3.0,606,2025-05-10,和描述的一致，不错
P662440,vivo 吸尘器 经典款,吸尘器,新款知名品牌 吸尘器，采用先进工艺，品质保证。,75.42,3844,4.5,404,2024-08-19,质量很好，非常满意
P106695,洽洽 休闲零食 新款,休闲零食,洽洽出品休闲零食，深受消费者喜爱，口碑之选。,710.25,468,4.0,866,2023-09-25,用起来很方便，推荐
P650503,资生堂 保湿面霜 经典款,保湿面霜,相宜本草 保湿面霜，精选优质材料，适合各类人群使用。,1525.53,368,2.5,991,2025-01-20,不太符合预期
P631935,苹果 婴儿奶粉 Pro,婴儿奶粉,知名品牌出品婴儿奶粉，深受消费者喜爱，口碑之选。,410.02,3984,4.0,952,2025-06-12,质量很好，非常满意
P796956,杰克琼斯 男士T恤 青春版,男士T恤,H&M出品男士T恤，深受消费者喜爱，口碑之选。,396.98,280,5.0,112,2025-03-24,性价比高，值得购买
P170548,苹果 智能手表 经典款,智能手表,新款知名品牌 智能手表，采用先进工艺，品质保证。,649.33,4429,2.0,414,2025-06-01,不太符合预期
P121305,vivo 婴儿奶粉 Pro,婴儿奶粉,新款知名品牌 婴儿奶粉，采用先进工艺，品质保证。,707.71,380,3.0,887,2024-09-30,有点小瑕疵，但总体还行
P703823,OPPO 台灯 青春版,台灯,新款知名品牌 台灯，采用先进工艺，品质保证。,734.4,417,4.5,874,2023-11-29,质量很好，非常满意
P614360,华为 电饭煲 经典款,电饭煲,知名品牌出品电饭煲，深受消费者喜爱，口碑之选。,36.96,455,4.5,726,2025-02-05,性价比高，值得购买
P165485,小米 智能手表 新款,智能手表,新款知名品牌 智能手表，采用先进工艺，品质保证。,2338.64,19,5.0,736,2023-11-12,质量很好，非常满意
P875328,OPPO 牛奶 经典款,牛奶,知名品牌出品牛奶，深受消费者喜爱，口碑之选。,96.0,441,4.0,235,2024-12-30,质量很好，非常满意
P838344,vivo 运动鞋 青春版,运动鞋,新款知名品牌 运动鞋，采用先进工艺，品质保证。,505.83,390,4.0,518,2024-02-13,性价比高，值得购买
P795610,苹果 平板电脑 经典款,平板电脑,新款知名品牌 平板电脑，采用先进工艺，品质保证。,5453.46,653,4.5,920,2025-03-09,性价比高，值得购买
P973991,华为 运动鞋 青春版,运动鞋,知名品牌 运动鞋，精选优质材料，适合各类人群使用。,1300.28,147,4.5,88,2025-02-05,性价比高，值得购买
P166008,苹果 运动鞋 青春版,运动鞋,知名品牌 运动鞋，精选优质材料，适合各类人群使用。,1236.88,474,5.0,427,2024-08-21,用起来很方便，推荐
P737121,相宜本草 保湿面霜 经典款,保湿面霜,SK-II出品保湿面霜，深受消费者喜爱，口碑之选。,1964.36,410,5.0,573,2025-03-13,用起来很方便，推荐
P989837,vivo 吸尘器 新款,吸尘器,知名品牌 吸尘器，精选优质材料，适合各类人群使用。,506.39,166,4.5,871,2025-04-30,用起来很方便，推荐
P293201,OPPO 婴儿奶粉 青春版,婴儿奶粉,知名品牌 婴儿奶粉，精选优质材料，适合各类人群使用。,680.74,1945,2.0,645,2024-09-09,不太符合预期
P120320,小米 智能手机 经典款,智能手机,华为出品智能手机，深受消费者喜爱，口碑之选。,4994.73,485,4.0,832,2024-03-11,质量很好，非常满意
P227083,华为 电饭煲 经典款,电饭煲,新款知名品牌 电饭煲，采用先进工艺，品质保证。,767.92,490,3.5,562,2024-09-29,和描述的一致，不错
P639983,小米 婴儿奶粉 经典款,婴儿奶粉,知名品牌出品婴儿奶粉，深受消费者喜爱，口碑之选。,731.78,116,4.5,31,2024-04-06,性价比高，值得购买
P366474,OPPO 女士连衣裙 新款,女士连衣裙,知名品牌 女士连衣裙，精选优质材料，适合各类人群使用。,882.0,2234,3.5,662,2025-02-26,有点小瑕疵，但总体还行
P559450,苹果 婴儿奶粉 青春版,婴儿奶粉,知名品牌出品婴儿奶粉，深受消费者喜爱，口碑之选。,661.01,77,4.0,666,2023-12-24,用起来很方便，推荐
P508925,苹果 纸尿裤 新款,纸尿裤,知名品牌 纸尿裤，精选优质材料，适合各类人群使用。,581.65,59,1.5,131,2025-07-20,不太符合预期
P865619,SK-II 保湿面霜 青春版,保湿面霜,新款雅诗兰黛 保湿面霜，采用先进工艺，品质保证。,546.6,41,4.5,547,2025-08-01,质量很好，非常满意
P363590,OPPO 婴儿奶粉 新款,婴儿奶粉,知名品牌 婴儿奶粉，精选优质材料，适合各类人群使用。,856.24,4164,4.0,61,2025-04-30,用起来很方便，推荐
P427865,百草味 休闲零食 Pro,休闲零食,三只松鼠出品休闲零食，深受消费者喜爱，口碑之选。,821.48,469,2.5,983,2025-03-12,不太符合预期
P702234,OPPO 平板电脑 新款,平板电脑,知名品牌 平板电脑，精选优质材料，适合各类人群使用。,2046.2,86,5.0,198,2024-09-13,性价比高，值得购买
P711835,三只松鼠 休闲零食 新款,休闲零食,百草味 休闲零食，精选优质材料，适合各类人群使用。,140.4,108,3.0,582,2024-12-16,和描述的一致，不错
P832827,小米 儿童玩具 经典款,儿童玩具,新款知名品牌 儿童玩具，采用先进工艺，品质保证。,172.92,225,4.0,551,2024-02-22,质量很好，非常满意
P511719,OPPO 平板电脑 Pro,平板电脑,知名品牌出品平板电脑，深受消费者喜爱，口碑之选。,3225.09,13867,4.5,809,2025-07-25,用起来很方便，推荐
P664520,小米 婴儿奶粉 青春版,婴儿奶粉,知名品牌 婴儿奶粉，精选优质材料，适合各类人群使用。,212.09,2714,4.0,61,2025-06-23,性价比高，值得购买
P839605,华为 牛奶 新款,牛奶,知名品牌 牛奶，精选优质材料，适合各类人群使用。,536.63,531,5.0,906,2024-01-08,质量很好，非常满意
P284442,华为 牛奶 青春版,牛奶,知名品牌出品牛奶，深受消费者喜爱，口碑之选。,653.32,1321,4.0,425,2024-03-04,性价比高，值得购买
P194922,OPPO 口红 Pro,口红,新款知名品牌 口红，采用先进工艺，品质保证。,457.91,89,3.0,476,2025-04-25,有点小瑕疵，但总体还行
P997132,OPPO 口红 Pro,口红,知名品牌出品口红，深受消费者喜爱，口碑之选。,413.78,908,3.0,713,2023-08-22,和描述的一致，不错
P787991,小米 牛仔裤 Pro,牛仔裤,知名品牌 牛仔裤，精选优质材料，适合各类人群使用。,318.91,43,4.0,366,2025-01-30,质量很好，非常满意
P460813,vivo 口红 新款,口红,知名品牌 口红，精选优质材料，适合各类人群使用。,296.24,374,4.0,589,2025-01-30,用起来很方便，推荐
P941635,华为 智能手机 Pro,智能手机,新款vivo 智能手机，采用先进工艺，品质保证。,2319.26,47,2.0,565,2024-04-06,不太符合预期
P128070,OPPO 咖啡 青春版,咖啡,知名品牌出品咖啡，深受消费者喜爱，口碑之选。,445.37,404,4.5,590,2025-06-06,质量很好，非常满意
P477928,徐福记 休闲零食 青春版,休闲零食,三只松鼠 休闲零食，精选优质材料，适合各类人群使用。,511.43,391,2.0,466,2024-06-06,不太符合预期
P193854,小米 电饭煲 Pro,电饭煲,知名品牌出品电饭煲，深受消费者喜爱，口碑之选。,362.17,153,4.5,14,2024-06-21,用起来很方便，推荐
P399403,惠普 笔记本电脑 经典款,笔记本电脑,戴尔出品笔记本电脑，深受消费者喜爱，口碑之选。,7756.72,3425,2.5,781,2023-09-27,不太符合预期
P311253,华为 防晒霜 经典款,防晒霜,知名品牌出品防晒霜，深受消费者喜爱，口碑之选。,980.51,1298,3.5,555,2024-08-05,和描述的一致，不错
P221925,华为 水果礼盒 经典款,水果礼盒,新款知名品牌 水果礼盒，采用先进工艺，品质保证。,591.03,256,4.5,353,2023-08-16,性价比高，值得购买
P743577,OPPO 水果礼盒 青春版,水果礼盒,知名品牌出品水果礼盒，深受消费者喜爱，口碑之选。,373.61,12011,4.5,355,2024-12-13,性价比高，值得购买
P761719,OPPO 电饭煲 青春版,电饭煲,知名品牌 电饭煲，精选优质材料，适合各类人群使用。,829.57,0,4.0,712,2024-11-23,质量很好，非常满意
P772829,OPPO 婴儿奶粉 Pro,婴儿奶粉,新款知名品牌 婴儿奶粉，采用先进工艺，品质保证。,743.41,805,2.0,99,2024-02-27,不太符合预期
P640632,苹果 平板电脑 新款,平板电脑,知名品牌出品平板电脑，深受消费者喜爱，口碑之选。,3721.83,47,4.0,393,2025-02-22,质量很好，非常满意
P960695,小米 婴儿奶粉 新款,婴儿奶粉,新款知名品牌 婴儿奶粉，采用先进工艺，品质保证。,704.95,291,3.5,438,2023-10-11,有点小瑕疵，但总体还行
P635207,OPPO 防晒霜 新款,防晒霜,新款知名品牌 防晒霜，采用先进工艺，品质保证。,946.86,1610,3.5,562,2024-05-24,和描述的一致，不错
P594753,vivo 运动鞋 青春版,运动鞋,知名品牌 运动鞋，精选优质材料，适合各类人群使用。,715.88,431,3.5,650,2024-10-26,和描述的一致，不错
P425503,小米 纸尿裤 青春版,纸尿裤,知名品牌 纸尿裤，精选优质材料，适合各类人群使用。,468.0,114,5.0,163,2024-02-15,质量很好，非常满意
P683253,OPPO 洗发水 新款,洗发水,知名品牌出品洗发水，深受消费者喜爱，口碑之选。,848.25,401,2.0,917,2024-09-19,不太符合预期
P172581,优衣库 男士T恤 Pro,男士T恤,ZARA出品男士T恤，深受消费者喜爱，口碑之选。,317.79,9,3.5,416,2024-02-18,和描述的一致，不错
P738495,小米 台灯 Pro,台灯,新款知名品牌 台灯，采用先进工艺，品质保证。,343.52,500,4.0,687,2025-03-28,用起来很方便，推荐
P764424,vivo 洗发水 新款,洗发水,新款知名品牌 洗发水，采用先进工艺，品质保证。,881.78,399,4.0,395,2024-12-06,用起来很方便，推荐
P923753,惠普 笔记本电脑 青春版,笔记本电脑,苹果 笔记本电脑，精选优质材料，适合各类人群使用。,12550.82,261,5.0,469,2024-10-09,用起来很方便，推荐
P289086,OPPO 牛仔裤 经典款,牛仔裤,知名品牌出品牛仔裤，深受消费者喜爱，口碑之选。,778.93,304,3.5,723,2025-02-05,和描述的一致，不错
P101589,华为 防晒霜 新款,防晒霜,知名品牌出品防晒霜，深受消费者喜爱，口碑之选。,631.19,3896,5.0,418,2024-05-24,用起来很方便，推荐
P262377,小米 台灯 经典款,台灯,知名品牌出品台灯，深受消费者喜爱，口碑之选。,960.18,218,4.5,183,2024-07-08,用起来很方便，推荐
P889141,vivo 女士连衣裙 Pro,女士连衣裙,知名品牌 女士连衣裙，精选优质材料，适合各类人群使用。,614.49,407,4.5,141,2025-06-06,性价比高，值得购买
P258183,苹果 牛仔裤 Pro,牛仔裤,知名品牌出品牛仔裤，深受消费者喜爱，口碑之选。,409.89,5271,5.0,808,2024-12-02,质量很好，非常满意
P443530,联想 笔记本电脑 青春版,笔记本电脑,新款联想 笔记本电脑，采用先进工艺，品质保证。,9847.21,257,3.5,91,2023-11-08,和描述的一致，不错
P907287,小米 智能手机 经典款,智能手机,华为出品智能手机，深受消费者喜爱，口碑之选。,7357.92,418,5.0,559,2025-01-14,用起来很方便，推荐
P803745,小米 女士连衣裙 Pro,女士连衣裙,知名品牌 女士连衣裙，精选优质材料，适合各类人群使用。,532.24,481,3.5,904,2025-06-20,和描述的一致，不错
P540429,vivo 平板电脑 新款,平板电脑,新款知名品牌 平板电脑，采用先进工艺，品质保证。,4212.2,403,4.5,963,2024-08-27,质量很好，非常满意
P935530,小米 吸尘器 青春版,吸尘器,新款知名品牌 吸尘器，采用先进工艺，品质保证。,990.29,229,3.5,412,2023-11-16,有点小瑕疵，但总体还行
P910426,华为 洗发水 Pro,洗发水,新款知名品牌 洗发水，采用先进工艺，品质保证。,833.26,3056,4.5,223,2025-02-21,用起来很方便，推荐
P358251,苹果 婴儿车 Pro,婴儿车,新款知名品牌 婴儿车，采用先进工艺，品质保证。,74.23,130,2.0,110,2024-07-28,不太符合预期
P744824,苹果 运动鞋 青春版,运动鞋,新款知名品牌 运动鞋，采用先进工艺，品质保证。,740.74,151,1.5,45,2024-11-24,不太符合预期
P882275,OPPO 牛仔裤 新款,牛仔裤,新款知名品牌 牛仔裤，采用先进工艺，品质保证。,164.14,367,4.5,144,2024-01-12,性价比高，值得购买
P170926,雅诗兰黛 保湿面霜 经典款,保湿面霜,雅诗兰黛出品保湿面霜，深受消费者喜爱，口碑之选。,533.47,227,4.0,464,2023-12-31,用起来很方便，推荐
P693349,OPPO 牛仔裤 经典款,牛仔裤,知名品牌 牛仔裤，精选优质材料，适合各类人群使用。,526.88,364,4.5,658,2025-01-24,用起来很方便，推荐
P993859,OPPO 运动鞋 青春版,运动鞋,新款知名品牌 运动鞋，采用先进工艺，品质保证。,488.79,477,4.5,720,2023-12-16,性价比高，值得购买
P266369,SK-II 保湿面霜 青春版,保湿面霜,新款雅诗兰黛 保湿面霜，采用先进工艺，品质保证。,707.77,3452,2.5,936,2024-05-19,不太符合预期
